district,population,placename,category,total19,total20,total21,total22,total23,total24,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
16,41000,"Powelton, Mantua and Parkside",Aggravated Assault,302,345,358,296,307,342,345,999,333,-2,14.2,16.6,4,736.6,841.5,873.2,722,841.5,812.2
17,50000,South Philadelphia and Grays Ferry,Aggravated Assault,188,179,153,160,182,147,148,492,164,-14.9,-21.3,-7.5,-10,376,358,306,320,296,328
18,80000,University City and Cobbs Creek,Aggravated Assault,464,522,443,425,452,433,439,1390,463.3,-8.4,-5.4,3.3,-5,580,652.5,553.8,531.2,548.8,579.1
35,100000,Olney and Logan,Aggravated Assault,634,670,676,639,604,561,566,1985,661.7,0.8,-10.7,-11.4,-14,634,670,676,639,566,661.7
39,61000,"East Falls, Tioga and Nicetown",Aggravated Assault,671,618,640,601,597,565,572,1859,619.7,-10.4,-14.8,-4.8,-8,1100,1013.1,1049.2,985.2,937.7,1015.9
01,37000,Girard Estates and Navy Yard,Aggravated Assault,118,141,138,135,121,121,121,414,138,14.4,2.5,-10.4,-12,318.9,381.1,373,364.9,327,373
02,115000,Oxford Circle and Lawncrest,Aggravated Assault,292,352,341,297,369,347,349,990,330,1.7,19.5,17.5,6,253.9,306.1,296.5,258.3,303.5,287
03,93000,"Whitman, Stadium District and Lower Moyamensing",Aggravated Assault,260,225,237,242,266,266,269,704,234.7,-6.9,3.5,11.2,15,279.6,241.9,254.8,260.2,289.2,252.4
19,86000,"Overbrook, Wynnefield and Overbrook Park",Aggravated Assault,584,721,654,568,639,620,629,1943,647.7,-2.7,7.7,10.7,-3,679.1,838.4,760.5,660.5,731.4,753.1
22,77000,Strawberry Mansion and Stanton,Aggravated Assault,712,823,834,746,738,737,747,2403,801,4.8,4.9,0.1,-7,924.7,1068.8,1083.1,968.8,970.1,1040.3
24,67000,Richmond and Port Richmond,Aggravated Assault,682,837,732,668,583,566,573,2237,745.7,-2.1,-16,-14.2,-23,1017.9,1249.3,1092.5,997,855.2,1113
25,68000,Kensington and Harrowgate,Aggravated Assault,737,905,821,784,806,760,778,2510,836.7,6.4,5.6,-0.8,-7,1083.8,1330.9,1207.4,1152.9,1144.1,1230.4
26,57000,"Fishtown, Olde Kensington, East Kensington and West Kensington",Aggravated Assault,268,307,323,302,292,282,284,932,310.7,12.7,6,-6,-9,470.2,538.6,566.7,529.8,498.2,545.1
15,139000,"Bridesburg, Frankford, Northwood and Wissimoming",Aggravated Assault,625,651,655,639,589,707,713,1945,648.3,2.2,14.1,11.6,10,449.6,468.3,471.2,459.7,512.9,466.4
77,0,Philadelphia airport,Aggravated Assault,7,8,2,4,3,9,9,14,4.7,-42.9,28.6,125,91,NA,NA,NA,NA,NA,NA
05,43000,"Andorra, Roxborough and Manayunk",Aggravated Assault,76,67,49,74,58,51,53,190,63.3,-2.6,-30.3,-28.4,-16,176.7,155.8,114,172.1,123.3,147.2
06,46000,"Center City East, Chinatown, Poplar and Society Hill",Aggravated Assault,248,255,253,305,280,77,78,813,271,23,-68.5,-74.4,-71,539.1,554.3,550,663,169.6,589.1
07,95000,Somerton and Bustleton,Aggravated Assault,80,70,97,85,134,83,84,252,84,6.2,5,-1.2,0,84.2,73.7,102.1,89.5,88.4,88.4
08,97000,"Parkwood Manor, Byberry, Morrell Park and Millbrook",Aggravated Assault,155,212,233,233,286,233,236,678,226,50.3,52.3,1.3,4,159.8,218.6,240.2,240.2,243.3,233
09,66000,"Center City West, Logan Circle and North Philadelphia",Aggravated Assault,184,156,200,198,182,416,418,554,184.7,7.6,127.2,111.1,126,278.8,236.4,303,300,633.3,279.8
12,72000,"Kingsessing, Eastwick and Elmwood",Aggravated Assault,535,734,558,481,561,543,552,1773,591,-10.1,3.2,14.8,-7,743.1,1019.4,775,668.1,766.7,820.8
14,112000,"Germantown, Mt. Airy and Chestnut Hill",Aggravated Assault,411,526,461,447,401,405,415,1434,478,8.8,1,-7.2,-13,367,469.6,411.6,399.1,370.5,426.8
04,NA,NA,Aggravated Assault,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
