district,population,placename,category,total19,total20,total21,total22,total23,total24,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
16,41000,"Powelton, Mantua and Parkside",Motor Vehicle Theft,61,88,293,323,514,326,358,704,234.7,429.5,486.9,10.8,53,148.8,214.6,714.6,787.8,873.2,572.4
17,50000,South Philadelphia and Grays Ferry,Motor Vehicle Theft,49,57,178,191,595,327,362,426,142,289.8,638.8,89.5,155,98,114,356,382,724,284
18,80000,University City and Cobbs Creek,Motor Vehicle Theft,66,131,388,566,1027,545,614,1085,361.7,757.6,830.3,8.5,70,82.5,163.8,485,707.5,767.5,452.1
35,100000,Olney and Logan,Motor Vehicle Theft,115,143,477,938,1793,944,1047,1558,519.3,715.7,810.4,11.6,102,115,143,477,938,1047,519.3
39,61000,"East Falls, Tioga and Nicetown",Motor Vehicle Theft,103,117,475,612,1129,662,699,1204,401.3,494.2,578.6,14.2,74,168.9,191.8,778.7,1003.3,1145.9,657.9
01,37000,Girard Estates and Navy Yard,Motor Vehicle Theft,34,27,109,192,394,305,331,328,109.3,464.7,873.5,72.4,203,91.9,73,294.6,518.9,894.6,295.4
02,115000,Oxford Circle and Lawncrest,Motor Vehicle Theft,94,95,432,851,1557,918,1008,1378,459.3,805.3,972.3,18.4,119,81.7,82.6,375.7,740,876.5,399.4
03,93000,"Whitman, Stadium District and Lower Moyamensing",Motor Vehicle Theft,68,80,283,405,882,754,814,768,256,495.6,1097.1,101,218,73.1,86,304.3,435.5,875.3,275.3
19,86000,"Overbrook, Wynnefield and Overbrook Park",Motor Vehicle Theft,120,138,429,681,1180,753,812,1248,416,467.5,576.7,19.2,95,139.5,160.5,498.8,791.9,944.2,483.7
22,77000,Strawberry Mansion and Stanton,Motor Vehicle Theft,108,184,611,983,1599,867,939,1778,592.7,810.2,769.4,-4.5,58,140.3,239,793.5,1276.6,1219.5,769.7
24,67000,Richmond and Port Richmond,Motor Vehicle Theft,120,187,558,673,1090,618,672,1418,472.7,460.8,460,-0.1,42,179.1,279.1,832.8,1004.5,1003,705.5
25,68000,Kensington and Harrowgate,Motor Vehicle Theft,130,211,539,656,916,557,603,1406,468.7,404.6,363.8,-8.1,29,191.2,310.3,792.6,964.7,886.8,689.3
26,57000,"Fishtown, Olde Kensington, East Kensington and West Kensington",Motor Vehicle Theft,105,164,424,703,1664,912,1000,1291,430.3,569.5,852.4,42.2,132,184.2,287.7,743.9,1233.3,1754.4,754.9
15,139000,"Bridesburg, Frankford, Northwood and Wissimoming",Motor Vehicle Theft,146,292,778,1235,2197,1311,1430,2305,768.3,745.9,879.5,15.8,86,105,210.1,559.7,888.5,1028.8,552.7
77,0,Philadelphia airport,Motor Vehicle Theft,2,14,13,44,117,40,43,71,23.7,2100,2050,-2.3,81,NA,NA,NA,NA,NA,NA
05,43000,"Andorra, Roxborough and Manayunk",Motor Vehicle Theft,21,30,92,178,353,278,301,300,100,747.6,1333.3,69.1,201,48.8,69.8,214,414,700,232.6
06,46000,"Center City East, Chinatown, Poplar and Society Hill",Motor Vehicle Theft,45,61,228,263,558,123,162,552,184,484.4,260,-38.4,-12,97.8,132.6,495.7,571.7,352.2,400
07,95000,Somerton and Bustleton,Motor Vehicle Theft,22,43,107,199,624,434,465,349,116.3,804.5,2013.6,133.7,300,23.2,45.3,112.6,209.5,489.5,122.4
08,97000,"Parkwood Manor, Byberry, Morrell Park and Millbrook",Motor Vehicle Theft,65,59,192,354,849,659,705,605,201.7,444.6,984.6,99.2,250,67,60.8,197.9,364.9,726.8,207.9
09,66000,"Center City West, Logan Circle and North Philadelphia",Motor Vehicle Theft,35,36,202,244,597,647,682,482,160.7,597.1,1848.6,179.5,324,53,54.5,306.1,369.7,1033.3,243.5
12,72000,"Kingsessing, Eastwick and Elmwood",Motor Vehicle Theft,173,241,637,855,1383,767,847,1733,577.7,394.2,389.6,-0.9,47,240.3,334.7,884.7,1187.5,1176.4,802.4
14,112000,"Germantown, Mt. Airy and Chestnut Hill",Motor Vehicle Theft,114,141,335,674,1455,902,973,1150,383.3,491.2,753.5,44.4,154,101.8,125.9,299.1,601.8,868.8,342.2
04,NA,NA,Motor Vehicle Theft,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
