district,population,placename,category,total19,total20,total21,total22,total23,total24,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
16,41000,"Powelton, Mantua and Parkside",Aggravated Assault,302,345,358,296,307,293,335,999,333,-2,10.9,13.2,1,736.6,841.5,873.2,722,817.1,812.2
16,41000,"Powelton, Mantua and Parkside",Burglary,204,192,155,184,174,143,168,531,177,-9.8,-17.6,-8.7,-5,497.6,468.3,378,448.8,409.8,431.7
16,41000,"Powelton, Mantua and Parkside",Motor Vehicle Theft,61,88,293,323,514,303,374,704,234.7,429.5,513.1,15.8,59,148.8,214.6,714.6,787.8,912.2,572.4
16,41000,"Powelton, Mantua and Parkside",Murder,15,26,29,19,20,10,12,74,24.7,26.7,-20,-36.8,-51,36.6,63.4,70.7,46.3,29.3,60.2
16,41000,"Powelton, Mantua and Parkside",Other,4952,3374,2683,2801,2799,2179,2543,8858,2952.7,-43.4,-48.6,-9.2,-14,12078,8229.3,6543.9,6831.7,6202.4,7201.7
16,41000,"Powelton, Mantua and Parkside",Robbery,169,141,174,157,140,113,139,472,157.3,-7.1,-17.8,-11.5,-12,412.2,343.9,424.4,382.9,339,383.7
16,41000,"Powelton, Mantua and Parkside",Sexual Assault,42,25,27,16,24,11,12,68,22.7,-61.9,-71.4,-25,-47,102.4,61,65.9,39,29.3,55.4
16,41000,"Powelton, Mantua and Parkside",Theft,1039,927,1029,1371,1389,1050,1260,3327,1109,32,21.3,-8.1,14,2534.1,2261,2509.8,3343.9,3073.2,2704.9
17,50000,South Philadelphia and Grays Ferry,Aggravated Assault,188,179,153,160,182,129,143,492,164,-14.9,-23.9,-10.6,-13,376,358,306,320,286,328
17,50000,South Philadelphia and Grays Ferry,Burglary,254,173,160,139,175,105,134,472,157.3,-45.3,-47.2,-3.6,-15,508,346,320,278,268,314.6
17,50000,South Philadelphia and Grays Ferry,Motor Vehicle Theft,49,57,178,191,595,286,351,426,142,289.8,616.3,83.8,147,98,114,356,382,702,284
17,50000,South Philadelphia and Grays Ferry,Murder,5,17,10,7,15,3,5,34,11.3,40,0,-28.6,-56,10,34,20,14,10,22.6
17,50000,South Philadelphia and Grays Ferry,Other,2662,1640,1577,1640,1747,1505,1745,4857,1619,-38.4,-34.4,6.4,8,5324,3280,3154,3280,3490,3238
17,50000,South Philadelphia and Grays Ferry,Robbery,121,102,71,109,123,69,81,282,94,-9.9,-33.1,-25.7,-14,242,204,142,218,162,188
17,50000,South Philadelphia and Grays Ferry,Sexual Assault,20,10,19,14,9,2,4,43,14.3,-30,-80,-71.4,-72,40,20,38,28,8,28.6
17,50000,South Philadelphia and Grays Ferry,Theft,1356,1310,1134,1459,1315,1379,1560,3903,1301,7.6,15,6.9,20,2712,2620,2268,2918,3120,2602
18,80000,University City and Cobbs Creek,Aggravated Assault,464,522,443,425,452,372,427,1390,463.3,-8.4,-8,0.5,-8,580,652.5,553.8,531.2,533.8,579.1
18,80000,University City and Cobbs Creek,Burglary,318,362,289,305,289,191,231,956,318.7,-4.1,-27.4,-24.3,-28,397.5,452.5,361.2,381.2,288.8,398.4
18,80000,University City and Cobbs Creek,Motor Vehicle Theft,66,131,388,566,1027,489,631,1085,361.7,757.6,856.1,11.5,74,82.5,163.8,485,707.5,788.8,452.1
18,80000,University City and Cobbs Creek,Murder,19,24,18,24,14,11,11,66,22,26.3,-42.1,-54.2,-50,23.8,30,22.5,30,13.8,27.5
18,80000,University City and Cobbs Creek,Other,5760,3988,3333,3569,3654,2918,3408,10890,3630,-38,-40.8,-4.5,-6,7200,4985,4166.2,4461.2,4260,4537.5
18,80000,University City and Cobbs Creek,Robbery,277,288,257,254,200,170,205,799,266.3,-8.3,-26,-19.3,-23,346.2,360,321.2,317.5,256.2,332.9
18,80000,University City and Cobbs Creek,Sexual Assault,46,45,46,31,30,19,21,122,40.7,-32.6,-54.3,-32.3,-48,57.5,56.2,57.5,38.8,26.2,50.9
18,80000,University City and Cobbs Creek,Theft,2177,1701,1645,2401,2098,1693,1986,5747,1915.7,10.3,-8.8,-17.3,4,2721.2,2126.2,2056.2,3001.2,2482.5,2394.6
35,100000,Olney and Logan,Aggravated Assault,634,670,676,639,604,477,557,1985,661.7,0.8,-12.1,-12.8,-16,634,670,676,639,557,661.7
35,100000,Olney and Logan,Burglary,343,385,286,260,279,159,201,931,310.3,-24.2,-41.4,-22.7,-35,343,385,286,260,201,310.3
35,100000,Olney and Logan,Motor Vehicle Theft,115,143,477,938,1793,867,1062,1558,519.3,715.7,823.5,13.2,105,115,143,477,938,1062,519.3
35,100000,Olney and Logan,Murder,28,30,54,33,28,21,24,117,39,17.9,-14.3,-27.3,-38,28,30,54,33,24,39
35,100000,Olney and Logan,Other,7315,5755,4770,4350,4689,3842,4463,14875,4958.3,-40.5,-39,2.6,-10,7315,5755,4770,4350,4463,4958.3
35,100000,Olney and Logan,Robbery,433,358,352,372,388,244,288,1082,360.7,-14.1,-33.5,-22.6,-20,433,358,352,372,288,360.7
35,100000,Olney and Logan,Sexual Assault,75,63,49,41,38,36,40,153,51,-45.3,-46.7,-2.4,-22,75,63,49,41,40,51
35,100000,Olney and Logan,Theft,1878,1646,1600,2384,1981,1439,1736,5630,1876.7,26.9,-7.6,-27.2,-7,1878,1646,1600,2384,1736,1876.7
39,61000,"East Falls, Tioga and Nicetown",Aggravated Assault,671,618,640,601,597,494,573,1859,619.7,-10.4,-14.6,-4.7,-8,1100,1013.1,1049.2,985.2,939.3,1015.9
39,61000,"East Falls, Tioga and Nicetown",Burglary,425,500,335,312,340,270,316,1147,382.3,-26.6,-25.6,1.3,-17,696.7,819.7,549.2,511.5,518,626.7
39,61000,"East Falls, Tioga and Nicetown",Motor Vehicle Theft,103,117,475,612,1129,595,681,1204,401.3,494.2,561.2,11.3,70,168.9,191.8,778.7,1003.3,1116.4,657.9
39,61000,"East Falls, Tioga and Nicetown",Murder,28,43,46,35,23,9,11,124,41.3,25,-60.7,-68.6,-73,45.9,70.5,75.4,57.4,18,67.7
39,61000,"East Falls, Tioga and Nicetown",Other,5767,4382,4435,4274,4656,3807,4413,13091,4363.7,-25.9,-23.5,3.3,1,9454.1,7183.6,7270.5,7006.6,7234.4,7153.6
39,61000,"East Falls, Tioga and Nicetown",Robbery,289,269,269,314,287,200,237,852,284,8.7,-18,-24.5,-17,473.8,441,441,514.8,388.5,465.6
39,61000,"East Falls, Tioga and Nicetown",Sexual Assault,63,42,58,38,47,32,42,138,46,-39.7,-33.3,10.5,-9,103.3,68.9,95.1,62.3,68.9,75.4
39,61000,"East Falls, Tioga and Nicetown",Theft,1677,1451,1577,1844,2405,1948,2420,4872,1624,10,44.3,31.2,49,2749.2,2378.7,2585.2,3023,3967.2,2662.3
01,37000,Girard Estates and Navy Yard,Aggravated Assault,118,141,138,135,121,109,125,414,138,14.4,5.9,-7.4,-9,318.9,381.1,373,364.9,337.8,373
