district,population,placename,type,total19,total20,total21,total22,total23,total24,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
16,41000,"Powelton, Mantua and Parkside",Other,4952,3374,2683,2801,2799,2296,2560,8858,2952.7,-43.4,-48.3,-8.6,-13,12078,8229.3,6543.9,6831.7,6243.9,7201.7
16,41000,"Powelton, Mantua and Parkside",Property,1304,1207,1477,1878,2077,1576,1806,4562,1520.7,44,38.5,-3.8,19,3180.5,2943.9,3602.4,4580.5,4404.9,3709
16,41000,"Powelton, Mantua and Parkside",Violent,528,537,588,488,491,454,502,1613,537.7,-7.6,-4.9,2.9,-7,1287.8,1309.8,1434.1,1190.2,1224.4,1311.5
17,50000,South Philadelphia and Grays Ferry,Other,2662,1640,1577,1640,1747,1589,1748,4857,1619,-38.4,-34.3,6.6,8,5324,3280,3154,3280,3496,3238
17,50000,South Philadelphia and Grays Ferry,Property,1659,1540,1472,1789,2085,1888,2084,4801,1600.3,7.8,25.6,16.5,30,3318,3080,2944,3578,4168,3200.6
17,50000,South Philadelphia and Grays Ferry,Violent,334,308,253,290,329,213,231,851,283.7,-13.2,-30.8,-20.3,-19,668,616,506,580,462,567.4
18,80000,University City and Cobbs Creek,Other,5760,3988,3333,3569,3654,3050,3394,10890,3630,-38,-41.1,-4.9,-7,7200,4985,4166.2,4461.2,4242.5,4537.5
18,80000,University City and Cobbs Creek,Property,2561,2194,2322,3272,3414,2515,2857,7788,2596,27.8,11.6,-12.7,10,3201.2,2742.5,2902.5,4090,3571.2,3245
18,80000,University City and Cobbs Creek,Violent,806,879,764,734,696,606,674,2377,792.3,-8.9,-16.4,-8.2,-15,1007.5,1098.8,955,917.5,842.5,990.4
35,100000,Olney and Logan,Other,7315,5755,4770,4350,4689,4077,4523,14875,4958.3,-40.5,-38.2,4,-9,7315,5755,4770,4350,4523,4958.3
35,100000,Olney and Logan,Property,2336,2174,2363,3582,4053,2595,2972,8119,2706.3,53.3,27.2,-17,10,2336,2174,2363,3582,2972,2706.3
35,100000,Olney and Logan,Violent,1170,1121,1131,1085,1058,815,899,3337,1112.3,-7.3,-23.2,-17.1,-19,1170,1121,1131,1085,899,1112.3
39,61000,"East Falls, Tioga and Nicetown",Other,5767,4382,4435,4274,4656,3999,4454,13091,4363.7,-25.9,-22.8,4.2,2,9454.1,7183.6,7270.5,7006.6,7301.6,7153.6
39,61000,"East Falls, Tioga and Nicetown",Property,2205,2068,2387,2768,3874,2958,3366,7223,2407.7,25.5,52.7,21.6,40,3614.8,3390.2,3913.1,4537.7,5518,3947
39,61000,"East Falls, Tioga and Nicetown",Violent,1051,972,1013,988,954,780,874,2973,991,-6,-16.8,-11.5,-12,1723,1593.4,1660.7,1619.7,1432.8,1624.6
01,37000,Girard Estates and Navy Yard,Other,1479,1029,1193,1253,1365,1064,1212,3475,1158.3,-15.3,-18.1,-3.3,5,3997.3,2781.1,3224.3,3386.5,3275.7,3130.5
01,37000,Girard Estates and Navy Yard,Property,844,747,980,1665,1746,1521,1676,3392,1130.7,97.3,98.6,0.7,48,2281.1,2018.9,2648.6,4500,4529.7,3055.9
01,37000,Girard Estates and Navy Yard,Violent,243,240,229,297,228,178,202,766,255.3,22.2,-16.9,-32,-21,656.8,648.6,618.9,802.7,545.9,690
02,115000,Oxford Circle and Lawncrest,Other,3589,3118,3278,3308,3597,2839,3215,9704,3234.7,-7.8,-10.4,-2.8,-1,3120.9,2711.3,2850.4,2876.5,2795.7,2812.8
02,115000,Oxford Circle and Lawncrest,Property,2441,2226,2766,3960,4861,4857,5415,8952,2984,62.2,121.8,36.7,81,2122.6,1935.7,2405.2,3443.5,4708.7,2594.8
02,115000,Oxford Circle and Lawncrest,Violent,599,646,701,759,826,613,699,2106,702,26.7,16.7,-7.9,-0,520.9,561.7,609.6,660,607.8,610.4
03,93000,"Whitman, Stadium District and Lower Moyamensing",Other,4138,3234,2642,2593,2586,2141,2382,8469,2823,-37.3,-42.4,-8.1,-16,4449.5,3477.4,2840.9,2788.2,2561.3,3035.5
03,93000,"Whitman, Stadium District and Lower Moyamensing",Property,2477,2318,2721,3982,4126,3441,3820,9021,3007,60.8,54.2,-4.1,27,2663.4,2492.5,2925.8,4281.7,4107.5,3233.3
03,93000,"Whitman, Stadium District and Lower Moyamensing",Violent,554,418,479,513,527,441,492,1410,470,-7.4,-11.2,-4.1,5,595.7,449.5,515.1,551.6,529,505.4
19,86000,"Overbrook, Wynnefield and Overbrook Park",Other,7564,5225,5089,4713,5311,4697,5262,15027,5009,-37.7,-30.4,11.6,5,8795.3,6075.6,5917.4,5480.2,6118.6,5824.4
19,86000,"Overbrook, Wynnefield and Overbrook Park",Property,2229,2108,2364,3067,3658,3257,3627,7539,2513,37.6,62.7,18.3,44,2591.9,2451.2,2748.8,3566.3,4217.4,2922.1
19,86000,"Overbrook, Wynnefield and Overbrook Park",Violent,985,1041,975,876,942,838,935,2892,964,-11.1,-5.1,6.7,-3,1145.3,1210.5,1133.7,1018.6,1087.2,1120.9
22,77000,Strawberry Mansion and Stanton,Other,6510,5046,5320,5105,5491,5419,5968,15471,5157,-21.6,-8.3,16.9,16,8454.5,6553.2,6909.1,6629.9,7750.6,6697.4
22,77000,Strawberry Mansion and Stanton,Property,3159,2869,3460,4483,5371,3778,4292,10812,3604,41.9,35.9,-4.3,19,4102.6,3726,4493.5,5822.1,5574,4680.5
22,77000,Strawberry Mansion and Stanton,Violent,1292,1316,1353,1347,1239,1101,1220,4016,1338.7,4.3,-5.6,-9.4,-9,1677.9,1709.1,1757.1,1749.4,1584.4,1738.6
24,67000,Richmond and Port Richmond,Other,10213,6134,4823,4460,5517,5464,6015,15417,5139,-56.3,-41.1,34.9,17,15243.3,9155.2,7198.5,6656.7,8977.6,7670.1
24,67000,Richmond and Port Richmond,Property,2140,2405,3142,3400,3429,2586,2901,8947,2982.3,58.9,35.6,-14.7,-3,3194,3589.6,4689.6,5074.6,4329.9,4451.2
24,67000,Richmond and Port Richmond,Violent,1226,1423,1291,1307,1083,935,1040,4021,1340.3,6.6,-15.2,-20.4,-22,1829.9,2123.9,1926.9,1950.7,1552.2,2000.4
25,68000,Kensington and Harrowgate,Other,6214,4940,4404,4775,6278,5747,6380,14119,4706.3,-23.2,2.7,33.6,36,9138.2,7264.7,6476.5,7022.1,9382.4,6921
