district,population,placename,type,total19,total20,total21,total22,total23,2024,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
16,41000,"Powelton, Mantua and Parkside",Property,1304,1207,1477,1878,2077,427,1939,4562,1520.7,44,48.7,3.2,28,3180.5,2943.9,3602.4,4580.5,4729.3,3709
17,50000,South Philadelphia and Grays Ferry,Property,1659,1540,1472,1789,2085,557,2075,4801,1600.3,7.8,25.1,16,30,3318,3080,2944,3578,4150,3200.6
18,80000,University City and Cobbs Creek,Property,2561,2194,2322,3272,3414,875,3335,7788,2596,27.8,30.2,1.9,28,3201.2,2742.5,2902.5,4090,4168.8,3245
35,100000,Olney and Logan,Property,2336,2174,2363,3582,4053,798,3596,8119,2706.3,53.3,53.9,0.4,33,2336,2174,2363,3582,3596,2706.3
39,61000,"East Falls, Tioga and Nicetown",Property,2205,2068,2387,2768,3874,976,3838,7223,2407.7,25.5,74.1,38.7,59,3614.8,3390.2,3913.1,4537.7,6291.8,3947
01,37000,Girard Estates and Navy Yard,Property,844,747,980,1665,1746,484,1693,3392,1130.7,97.3,100.6,1.7,50,2281.1,2018.9,2648.6,4500,4575.7,3055.9
02,115000,Oxford Circle and Lawncrest,Property,2441,2226,2766,3960,4861,1483,4967,8952,2984,62.2,103.5,25.4,66,2122.6,1935.7,2405.2,3443.5,4319.1,2594.8
03,93000,"Whitman, Stadium District and Lower Moyamensing",Property,2477,2318,2721,3982,4126,1010,4053,9021,3007,60.8,63.6,1.8,35,2663.4,2492.5,2925.8,4281.7,4358.1,3233.3
19,86000,"Overbrook, Wynnefield and Overbrook Park",Property,2229,2108,2364,3067,3658,927,3538,7539,2513,37.6,58.7,15.4,41,2591.9,2451.2,2748.8,3566.3,4114,2922.1
22,77000,Strawberry Mansion and Stanton,Property,3159,2869,3460,4483,5371,1333,5182,10812,3604,41.9,64,15.6,44,4102.6,3726,4493.5,5822.1,6729.9,4680.5
24,67000,Richmond and Port Richmond,Property,2140,2405,3142,3400,3429,810,3341,8947,2982.3,58.9,56.1,-1.7,12,3194,3589.6,4689.6,5074.6,4986.6,4451.2
25,68000,Kensington and Harrowgate,Property,1904,2113,2149,2492,2650,725,2600,6754,2251.3,30.9,36.6,4.3,15,2800,3107.4,3160.3,3664.7,3823.5,3310.7
26,57000,"Fishtown, Olde Kensington, East Kensington and West Kensington",Property,2384,2398,2880,3824,5030,993,4638,9102,3034,60.4,94.5,21.3,53,4182.5,4207,5052.6,6708.8,8136.8,5322.8
15,139000,"Bridesburg, Frankford, Northwood and Wissimoming",Property,3125,2918,3690,5257,6863,1640,6485,11865,3955,68.2,107.5,23.4,64,2248.2,2099.3,2654.7,3782,4665.5,2845.3
77,0,Philadelphia airport,Property,387,221,360,518,802,184,753,1099,366.3,33.9,94.6,45.4,106,NA,NA,NA,NA,NA,NA
05,43000,"Andorra, Roxborough and Manayunk",Property,912,789,1093,1364,1602,432,1604,3246,1082,49.6,75.9,17.6,48,2120.9,1834.9,2541.9,3172.1,3730.2,2516.3
06,46000,"Center City East, Chinatown, Poplar and Society Hill",Property,3771,3006,3317,4233,4112,1165,4000,10556,3518.7,12.3,6.1,-5.5,14,8197.8,6534.8,7210.9,9202.2,8695.7,7649.3
07,95000,Somerton and Bustleton,Property,889,1046,1260,2036,2386,697,2327,4342,1447.3,129,161.8,14.3,61,935.8,1101.1,1326.3,2143.2,2449.5,1523.5
08,97000,"Parkwood Manor, Byberry, Morrell Park and Millbrook",Property,1569,1455,1837,2905,3951,938,3782,6197,2065.7,85.1,141,30.2,83,1617.5,1500,1893.8,2994.8,3899,2129.6
09,66000,"Center City West, Logan Circle and North Philadelphia",Property,3769,2986,3240,3835,4301,1209,4217,10061,3353.7,1.8,11.9,10,26,5710.6,4524.2,4909.1,5810.6,6389.4,5081.4
12,72000,"Kingsessing, Eastwick and Elmwood",Property,1969,2110,2562,3047,3569,974,3579,7719,2573,54.7,81.8,17.5,39,2734.7,2930.6,3558.3,4231.9,4970.8,3573.6
14,112000,"Germantown, Mt. Airy and Chestnut Hill",Property,2186,2291,2347,3029,4240,1088,4173,7667,2555.7,38.6,90.9,37.8,63,1951.8,2045.5,2095.5,2704.5,3725.9,2281.9
04,NA,NA,Property,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
