district,population,placename,category,total19,total20,total21,total22,total23,total24,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
16,41000,"Powelton, Mantua and Parkside",Robbery,169,141,174,157,140,76,135,472,157.3,-7.1,-20.1,-14,-14,412.2,343.9,424.4,382.9,329.3,383.7
17,50000,South Philadelphia and Grays Ferry,Robbery,121,102,71,109,123,56,100,282,94,-9.9,-17.4,-8.3,6,242,204,142,218,200,188
18,80000,University City and Cobbs Creek,Robbery,277,288,257,254,200,127,207,799,266.3,-8.3,-25.3,-18.5,-22,346.2,360,321.2,317.5,258.8,332.9
35,100000,Olney and Logan,Robbery,433,358,352,372,388,179,288,1082,360.7,-14.1,-33.5,-22.6,-20,433,358,352,372,288,360.7
39,61000,"East Falls, Tioga and Nicetown",Robbery,289,269,269,314,287,133,209,852,284,8.7,-27.7,-33.4,-26,473.8,441,441,514.8,342.6,465.6
01,37000,Girard Estates and Navy Yard,Robbery,98,85,79,143,97,36,72,307,102.3,45.9,-26.5,-49.7,-30,264.9,229.7,213.5,386.5,194.6,276.5
02,115000,Oxford Circle and Lawncrest,Robbery,243,228,317,397,414,185,355,942,314,63.4,46.1,-10.6,13,211.3,198.3,275.7,345.2,308.7,273
03,93000,"Whitman, Stadium District and Lower Moyamensing",Robbery,260,170,196,227,241,110,209,593,197.7,-12.7,-19.6,-7.9,6,279.6,182.8,210.8,244.1,224.7,212.6
19,86000,"Overbrook, Wynnefield and Overbrook Park",Robbery,304,240,242,242,234,131,218,724,241.3,-20.4,-28.3,-9.9,-10,353.5,279.1,281.4,281.4,253.5,280.6
22,77000,Strawberry Mansion and Stanton,Robbery,462,367,370,488,411,252,383,1225,408.3,5.6,-17.1,-21.5,-6,600,476.6,480.5,633.8,497.4,530.3
24,67000,Richmond and Port Richmond,Robbery,447,467,444,542,430,250,415,1453,484.3,21.3,-7.2,-23.4,-14,667.2,697,662.7,809,619.4,722.8
25,68000,Kensington and Harrowgate,Robbery,559,420,468,500,414,223,380,1388,462.7,-10.6,-32,-24,-18,822.1,617.6,688.2,735.3,558.8,680.4
26,57000,"Fishtown, Olde Kensington, East Kensington and West Kensington",Robbery,247,177,244,318,262,122,219,739,246.3,28.7,-11.3,-31.1,-11,433.3,310.5,428.1,557.9,384.2,432.1
15,139000,"Bridesburg, Frankford, Northwood and Wissimoming",Robbery,535,387,375,461,460,213,367,1223,407.7,-13.8,-31.4,-20.4,-10,384.9,278.4,269.8,331.7,264,293.3
77,0,Philadelphia airport,Robbery,2,2,4,3,9,3,5,9,3,50,150,66.7,67,NA,NA,NA,NA,NA,NA
05,43000,"Andorra, Roxborough and Manayunk",Robbery,26,25,33,45,35,15,33,103,34.3,73.1,26.9,-26.7,-4,60.5,58.1,76.7,104.7,76.7,79.8
06,46000,"Center City East, Chinatown, Poplar and Society Hill",Robbery,295,189,283,293,244,63,153,765,255,-0.7,-48.1,-47.8,-40,641.3,410.9,615.2,637,332.6,554.3
07,95000,Somerton and Bustleton,Robbery,48,35,53,58,71,24,53,146,48.7,20.8,10.4,-8.6,9,50.5,36.8,55.8,61.1,55.8,51.3
08,97000,"Parkwood Manor, Byberry, Morrell Park and Millbrook",Robbery,94,70,87,118,135,64,112,275,91.7,25.5,19.1,-5.1,22,96.9,72.2,89.7,121.6,115.5,94.5
09,66000,"Center City West, Logan Circle and North Philadelphia",Robbery,285,214,203,234,211,144,210,651,217,-17.9,-26.3,-10.3,-3,431.8,324.2,307.6,354.5,318.2,328.8
12,72000,"Kingsessing, Eastwick and Elmwood",Robbery,269,268,240,277,235,139,224,785,261.7,3,-16.7,-19.1,-14,373.6,372.2,333.3,384.7,311.1,363.5
14,112000,"Germantown, Mt. Airy and Chestnut Hill",Robbery,226,180,181,246,216,103,183,607,202.3,8.8,-19,-25.6,-10,201.8,160.7,161.6,219.6,163.4,180.6
04,NA,NA,Robbery,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
