category,month,count,rollavg_3month
Motor Vehicle Theft,2019-01-01,171,NA
Motor Vehicle Theft,2019-02-01,105,NA
Motor Vehicle Theft,2019-03-01,129,135
Motor Vehicle Theft,2019-04-01,135,123
Motor Vehicle Theft,2019-05-01,140,135
Motor Vehicle Theft,2019-06-01,142,139
Motor Vehicle Theft,2019-07-01,142,141
Motor Vehicle Theft,2019-08-01,155,146
Motor Vehicle Theft,2019-09-01,146,148
Motor Vehicle Theft,2019-10-01,188,163
Motor Vehicle Theft,2019-11-01,191,175
Motor Vehicle Theft,2019-12-01,152,177
Motor Vehicle Theft,2020-01-01,208,184
Motor Vehicle Theft,2020-02-01,139,166
Motor Vehicle Theft,2020-03-01,163,170
Motor Vehicle Theft,2020-04-01,164,155
Motor Vehicle Theft,2020-05-01,179,169
Motor Vehicle Theft,2020-06-01,184,176
Motor Vehicle Theft,2020-07-01,165,176
Motor Vehicle Theft,2020-08-01,231,193
Motor Vehicle Theft,2020-09-01,236,211
Motor Vehicle Theft,2020-10-01,264,244
Motor Vehicle Theft,2020-11-01,298,266
Motor Vehicle Theft,2020-12-01,308,290
Motor Vehicle Theft,2021-01-01,318,308
Motor Vehicle Theft,2021-02-01,208,278
Motor Vehicle Theft,2021-03-01,314,280
Motor Vehicle Theft,2021-04-01,623,382
Motor Vehicle Theft,2021-05-01,615,517
Motor Vehicle Theft,2021-06-01,654,631
Motor Vehicle Theft,2021-07-01,736,668
Motor Vehicle Theft,2021-08-01,785,725
Motor Vehicle Theft,2021-09-01,860,794
Motor Vehicle Theft,2021-10-01,947,864
Motor Vehicle Theft,2021-11-01,862,890
Motor Vehicle Theft,2021-12-01,858,889
Motor Vehicle Theft,2022-01-01,936,885
Motor Vehicle Theft,2022-02-01,862,885
Motor Vehicle Theft,2022-03-01,833,877
Motor Vehicle Theft,2022-04-01,796,830
Motor Vehicle Theft,2022-05-01,839,823
Motor Vehicle Theft,2022-06-01,859,831
Motor Vehicle Theft,2022-07-01,944,881
Motor Vehicle Theft,2022-08-01,1023,942
Motor Vehicle Theft,2022-09-01,1010,992
Motor Vehicle Theft,2022-10-01,1080,1038
Motor Vehicle Theft,2022-11-01,920,1003
